College or Institution,City,State,Deg,AreaofStudy,Method,MajorReqs,Credit,Dept,CourseNo,CourseTitle,KSA,Link
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4810,Cyber Defense,"This course is a semester-long simulation using the virtual systems, software, practices, and procedures necessary for the protection of computer systems and networks. Students learn how to protect networks and systems as deployed in a typical organization. Course topics include policy and practice associated with the protection of communication resources, intrusion detection systems, firewalls, and use of various tools for system and network protection.",https://kennesaw.curriculog.com/agenda:444/form
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3123,Hardware and Software Concepts,"This course examines various hardware and software components and how they work together in a modern computing environment. Topics include an overview of computer organization and architecture, machine language and modern languages",https://owlexpress.kennesaw.edu/prodban/bwckctlg.p_disp_course_detail?cat_term_in=202008&subj_code_in=CYBR&crse_numb_in=3123
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,NETW,215,TCP/IP,"This course is a thorough review of the Transmission Control Protocol/Internet Protocol (TCP/IP) which is used extensively in corporate enterprise networks and the Internet. The course will cover the structure of TCP/IP, its application to data networks, and security issues.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,210,Foundations of Cyber Security,This course will introduce foundation subject matter and technologies that are critical to the multidisciplinary landscape of cybersecurity.,https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CFDI,240,Digital Forensic Investigation Techniques,"This exciting course introduces students to the myriad software tools and best practices for handling digital evidence. Labs utilize Champlain College Online's Forensic VDI and challenge students to begin building their skills, from creating a hash value for a forensic copy with X-Ways Forensics and FTK Imager, to examining evidence with The Sleuth Kit (TSK), Autopsy and/or EnCase.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,330,Operating System Security,"Through this course, students learn about what makes up an operating system and the various threats to that operating system and, by extension, the user. The focus of this course is on CentOS Linux and Windows Server",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,260,Security Scripting With Python,"In CYBR-260, students learn how to script with Python (through IDLE and PyCharm), keeping in sight that being able to program is not just about being able to program. It's also about understanding how programs are put together and how they work, what is possible, and how to control the system.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CMIT,280,Cloud Computing Security,"Cloud computing has become increasingly central to Information Security (IS) strategies both at the corporate and personal level. It unifies a variety of technologies to provide businesses a method to improve business efficiency and reduce costs. This course will cover concepts, protocols and implementation details for working with and implementing cloud technologies within an organization.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,240,Networking & Security,"In this class, students take an intense look at networks and the ways that we provide appropriate controls and technology to provide security to them, while using Wireshark and NMAP as supporting tools.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,310,Mobile Security,"Mobile devices are convenient, portable, inexpensive, powerful and essential to a lot of people. Considering many people have their own smartphones, it makes sense for some businesses to make use of that by allowing employees to use their smartphones to connect to corporate infrastructure for communication functions. This introduces security issues. Smartphones and tablets are not the only areas where wireless technology introduces risk into the enterprise environment, not to mention putting individuals at risk. Bluetooth, 802.11 wireless networks and near field communications all have the potential to be harmful. This course will cover the risks and remediations associated with wireless technology.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,335,Ethical Hacking,"This is a course on how to find and exploit vulnerabilities in systems. While discussing the ethical and legal framework of these activities, students will use Google search techniques (a.k.a. Google Hacking), online applications, including Damn Vulnerable Web Application (DVWA), and Champlain’s virtual environments equipped with Kali Linux, Metasploitable, Nessus, Nexpose, NMAP, Zed Attack Proxy (ZAP), W3AF, Burp, and Security Administrator Tool for Analyzing Networks (a.k.a. SATAN), among other tools.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,320,Intrusion Analysis and Response,"CYBR-320 covers strategies, techniques and technologies used in attacking and defending information systems, and how to design secure networks and protect against intrusion, malware and other hacker exploits. Students will use the Security Onion Linux distribution and the Security Onion toolkit and will perform some log analysis. However, the course has its bigger focus on best practices.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,410,Emerging Threats & Defenses,"In CYBR-410, students have a look on how the landscape of threats and defenses is evolving. Some of the tools used in the class are: Social Engineer's Toolkit (Kali Linux), Metasploitable, Low Orbit Ion Cannon (loic), hping3, TinyCA, and openSSL.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,NETW,210,Wireless Networking,"This introductory course to Wireless LANs focuses on the design, planning, implementation, operation, and troubleshooting of Wireless LANs. It covers a comprehensive overview of technologies, security, and design best practices with particular emphasis on hands-on skills.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,CYBR,420,CYBR Policy Analysis & Implementation,"This course examines cybersecurity policy planning in an organizational context. The aim is to examine key procedures, such as security requirements analysis and risk assessments, to determine their roles in policy formation.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,WEBD,125,Web Page Development I - HTML,"From storyboard to form creation, students walk through the steps to create a basic four to five-page website to specification in this course that introduces HTML5 and CSS. Hands-on assignments reinforce skills development and best practices in design: navigation, column layout, image editing and usage, fonts and tables.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
Champlain College Online,Burlington,VT,BS,Cybersecurity,Online,CORE,3,NETW,255,System Admin & Network Services I,"NETW-255 is a lab-based course designed to introduce system administration in both Windows Server and Linux Server operating systems. Students learn how to install both Linux and Windows Operating systems, configure an Active Directory domain, learn common domain administration tasks, apply user and file management, experience application installation and configuration, and integrate the two operating systems to work together simulating a real-life work scenario.",https://online.champlain.edu/degrees-certificates/bachelors-cybersecurity
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,242,Hardening Operating Systems,"This course is a study of the principles and concepts of Network Security from various aspects including but not limited to hardware, software, and other critical elements relating to the CIA Triad. There is an emphasis on standard Operating System (OS) functions and discovering vulnerabilities. Upon completion of this course, students will be able to demonstrate an understating of methodologies and measures necessary to take a preventive stance to address security vulnerabilities. Students will examine the principles, practices, and policies related to hardening and securing Operating Systems. This course focuses on vulnerabilities and related countermeasures of various Windows components",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ENTD,261,Scripting Languages for the Administrator,"This course introduces the scripting languages necessary in custom programming for server administration and security purposes. Introductory level programming will be covered using scripting languages such as JavaScript, VBScript, Windows Shell Script, Python and SQL. Previous programming experience is recommended. You must have access to a Windows-based system to successfully complete the assignments in the course.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,231,Networking Concepts,"This course is a study of the evolution, the concepts, and the principles of local, distributed and enterprise networking. This course examines Network design, topologies, architecture, media, interface cards, protocols, problem resolution, communications, administration, operations, and resources. It introduces the student to the concepts of wireless networking, and web-based networks. This course also explores the Open Systems Interconnection (OSI) and the Transmission Control Protocol/ Internet Packet (TCP/IP) reference models. This course also examines internetworking servers, and hardware and operating systems maintenance.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,290,Securing Databases,"This course is an introductory study of the principles, practices, procedures, and methodologies to ensure security of data at rest within databases. It appraises the convergence between database security and associated threat vectors and attack methods. It examines database types, security architecture, platform fundamentals, user administration, password management, security models, virtual private databases, and auditing models. It reviews database security processes, security configuration techniques, and auditing checklists. Course topics include: Secure Architecture, Privilege Management, and Auditing Processes.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ITMG,281,"Law, Privacy, and Digital Data","This course examines how laws have had to change to account for the expanded realm of crimes in the digital age. Despite legislation intended to combat the problem of identity theft, it continues to be one of the most common crimes associated with the Internet. Sexual harassment complaints can now be triggered simply by an employee forwarding a questionable email to fellow employees. Some regard intellectual property rights violations to be innocent flattery, while others consider them to be violations that must be stamped out by force of law. Plagiarism by students who pull content from the Internet is a growing problem. Stalkers can log into their victims lives and gain access to highly confidential medical and financial information, and even sabotage their victim's reputations. This course examines current literature on such topics as HIPPA, FERPA, COPPA, Sarbanes - Oxley and other current legislation impacting legal disputes.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,262,Red and Blue Team Security,"This course examines the techniques and technologies for penetration of networks, detection of attacks, and prevention of attacks. This course addresses the techniques, the technologies, and the methodologies used by cyber intruders (hackers) to select a target and launch an attack. Students will gain insight into the motives and desired goals of hackers as well as effective tools and techniques used as countermeasures ensuring data assets remain secure. This course focuses on techniques and technologies to detect such attacks even while the attack is in progress; early detection enables the administrator to track the movements of the hacker and to discover the intent and goals of the hacker. This course assesses the various countermeasures to keep the system out of the “sights” of the hacker and to keep the hacker out of the perimeter of the target network. This course also explores the laws and the legal considerations in prosecuting computer crime.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,266,Cryptography Concepts,"This course will provide an extensive overview of the field of cryptography, which includes but not limited to a historical perspective on early systems, building to the number theoretic foundations of modern day cryptosystems. Upon completion of this course students will have the ability to demonstrate a knowledge of how cryptosystems are designed, and to match cryptosystems to the needs of an application. Students will also study basic cryptanalysis and will be presented with real life breaches of common cryptosystems so that they better understand the dangers within cryptosystem design and in the design of systems that rely on cryptography. Students will also gain an understanding of the various methods of encryption and analyze the strength and weaknesses of various techniques to ensure data assets are protected and secure.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,325,Biometrics,"This course presents an introduction to biometrics, the study of recognizing individuals based on their unique physical or behavioral traits related to computer and information security. Authentication, authorization, identification, and access control through biometric perspective are emphasized. The course orients practical applications of biometrics in the real world, providing a realistic view of the use of biometrics within the emerging threats in information security.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,421,Computer and Network Security,"This course allows the student to obtain the knowledge required to analyze and mitigate threats in the organizational network environment. Upon completion of this course, students will be able to demonstrate a knowledge of both computer and network security, from the wetware (human), software, and hardware perspectives. The ""wetware"" component will deal with identification of potential risk situations, establishing policies for avoidance, recovery, and prosecution, and proactive measures to reduce causal factors for security breaches in an organization. The ""software"" perspective will examine types of inappropriate software activity, as well as asset protection issues (recognizing software assets). This component will also address software tools available to assist in reducing administrative costs due to both malicious and accidental loss. The ""hardware"" component will address hardware approaches to protecting assets, as well as hardware techniques used to compromise assets. Specific technologies discussed include firewalls, symmetric key encryption, public key encryption, digital certificates, and cryptographic systems (SSL/TLS, VPNs, and Kerberos).",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,422,Information Security,"This course allows students to examine a broad range of computer security issues and provides the student with technical knowledge not normally addressed in traditional training. It explores the protection of proprietary information and security planning with an emphasis on networked computer vulnerabilities. It also focuses on detection (e.g. viruses, hackers, types of computer crime, computer forensic examination, etc.), as well as disaster recovery and technology law. A primary focus is put on security of systems and computer crime prevention. Also addressed is the maturing criminal population with increased computer literacy, whose tendency is to move from violent actions to more profitable computer crime. Finally, issues of privacy and freedom of information are examined. This course meets the topical requirements of the DoD Directive 8570.1M Information Assurance Management (IAM) Technical II and Management I categories. Requires CITRIX CLIENT SOFTWARE INSTALLATION FOR ONLINE VIRTUAL LABS accessibility.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,451,Cybercrime,"The rapid change in technology and the exponential growth in the use of the Internet have resulted in an increase in the number of computer and technology related crimes. This course is designed to provide students with the foundational knowledge and technologies needed to detect, investigate, and prevent computer related crimes. Topics to be covered include: cybercrime classification (hacking, denial of service attacks, cyberstalking, cyberbullying, virus dissemination, identity theft, electronic funds transfers, phishing, spoofing, Internet fraud, access device fraud and salami attacks), vulnerability of computer systems and computer applications, computer intrusions and attacks, the impact of cybercrime (social, economic, and legal), investigation of digital evidence, computer forensics, and the prevention of cybercrime.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,452,Cybersecurity,"This course examines the practices for assuring information security. The various roles and functions within the Cybersecurity practice will be combined and leveraged to produce a secure organization. Case studies will be used to examine theories and practices drawn from real world situations. The numerous pitfalls of Cybersecurity will be presented with everyday practices of securing companies resources from attack. This course will examine the frameworks, roles, and competencies involved with information security. The fundamentals of Cybersecurity will be examined to include: network and security concepts, attacker techniques, data security, system and applications security and incident response techniques. Current literature will be examined on such topics.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,ISSC,481,IT Security: Planning and Policy,"This course examines the principles of security planning and policy; it offers a holistic approach to cybersecurity for an organization. It focuses on a variety of security guidelines, policies and plans (security requirements, internal users, external users, operational costs, geography, capacity plan, growth plan, business organization, business scenarios, business factors, business processes, business functions, business products, product life cycle, technical factors, roles and responsibilities, and organizational authority). This course addresses physical security, authentication, network security, encryption, software development, email, Internet, acceptable use, acceptable speech, and viruses/worms. It also covers the need for actionable and maintainable policies and the need for periodic audits of policies and configurations.",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
American Public University,Charles Town,WV,BS,Cybersecurity,Online,CORE,3,INTL,440,Cyber Warfare,"This course provides an overview of cyber warfare and the potential impact of its use by military, terrorist, and criminal organizations. By studying the operation of computer networks, the student will gain an appreciation of how they have both benefited society and made portions of its infrastructure more vulnerable. An overview of cyber weaponry will be presented, and various offensive and defensive strategies will be examined via case studies",https://www.apu.apus.edu/academic/schools/science-technology-engineering-and-math/bachelors/cybersecurity.html
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,201,Fundamentals of Computer Networking,"This course is the study of the core theories and protocols that are the foundation of computer networking.  The Open Systems Interconnection (OSI) model and the Transmission Control Protocol/Internet Protocol (TCP/IP), protocol suite are discussed in detail.  This course provides a detailed overview of networking terminology, while examining the different networking topologies and architectures. ",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,215,Computer Programming with a Low Level Language,"This course covers the fundamental concepts of computer programming, using a low-level scripted programming language. This course is designed to provide the skills necessary to understand basic computer architecture, allowing the cyber security specialist to better identify, understand and remove security threats at the machine level",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,210,Computer Programming with a High Level Language,"This course covers the fundamental concepts of computer programming, using a high level scripted programming language. The course will emphasizes design and implementation standards. This course is designed to provide the skills necessary to become an effective cyber security practitioner.",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,220,Windows Server Administration,"This course provides students with the skills necessary to design, implement, manage and protect a Microsoft Windows Server Active Directory Domain.  Students will apply the lessons learned in this course by implementing an Active Directory Domain in a virtual environment. ",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,225,Linux Administration,"This course provides students with the necessary knowledge and skills to install, configure, upgrade and manage a Linux operating system in an enterprise network. Additionally, students will learn to perform normal business operations using the Linux Operating system.",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CYBR,230,Relational Database Management w/ SQL,This course covers the fundamental concepts of relational databases and the scripted Structure Query Language (SQL) language used to manage them. Students will learn how to design functional relational databases that conform to industry standards.,https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,CJ341,341,Cyber Law and Cybercrime,"This course includes extensive discussion of the legal constraints, both civil and criminal, that underlie acceptable behavior using computers and networks today. Special emphasis is placed upon the legal issues that affect information security, private and public use of digital forensics, and how information operations are performed.",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,IA,340,Introduction to Information Assurance,"This course provides an overview of design considerations involved with the security of site design. The course will also provide an understanding of the Levels of Trust and system accreditation/certification processes. Life cycle management of software, hardware, and physical plant, from planning through destruction will be examined and reinforced using case studies. Additionally understanding of the variety of security systems involving computers and networks and an ability to evaluate vulnerabilities will be discussed.",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
Norwich University,Northfield,VT,BS,Cybersecurity,Online,CORE,3,IA,342,Management of Information Assurance,"This course focuses on management of the information assurance process. Topics include human factors in reducing security breaches, security incident detection and response, remediation, management’s role in information assurance, and other considerations in framing and implementing information assurance policies. The final section reviews current topics of particular interest and activity in the field of information assurance.",https://online.norwich.edu/academic-programs/bachelors/cybersecurity
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,309,Network Theory and Design ,"An introduction to the theory, design, and application of networks, the course will include the creation or simulation of a computer network.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5197
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,312,Computer Architecture ,"Knowledge of the fundamental operations of computers is essential in a program in computer science. This course is designed to provide the student with an understanding of the structure and operations of the digital computer including: its history; how their systems are organized; the logic used in the computer; the use of micro-technology in computers; a foundation in the functioning of the computer at various levels, including the instruction set level, the operating machine level, and assembly language programming; and parallel computing concepts.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5198
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,315,Decision Support Systems ,"With better computer data analysis and the application of statistical concepts, decision making can be enhanced. This course provides the knowledge and skills to create these applications. Course fee may apply.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5199
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,320,Systems Analysis and Design ,"Students will be provided with actual systems to design, implement, and document the system development cycle. The cycle includes an analysis of current systems, logical and physical systems design, program development, testing, implementation, maintenance, and documentation",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5200
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,330,Database Concepts and Programming ,"This course introduces the student to the use of a database management system to provide the software and database necessary to upgrade a DBMS system. Database structures, applications, network, relational and hierarchical data models, application program development, query systems, file security, and the role of the database administrator will be studied.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5201
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,340,Introduction to Internet Applications ,"An introduction to Internet applications theory, the tools used to develop Internet applications, and the development of Web design, electronic commerce, and server administration.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5202
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,355,Systems Security ,"Securing the systems that run our computers is the key to ensuring that our essential information remains safe and available. This course provides the essentials to understanding the threats to systems security, the methods to counter those threats, and some practical work in systems security. A computer system with appropriate software will be required.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5203
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,405,Operating Systems ,The use of operating systems to facilitate reliable and safe execution of software: process execution and scheduling; process synchronization and deadlock avoidance/resolution; memory management; file systems; I/O systems and device management; protection and security.,https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5204
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,416,Introduction to Information Security ,"The advent of global networks has provided communication capabilities for businesses and individuals unparalleled in the history of the world. Attacks on the system that deny service, destroy systems, and purloin information through the use of worms, viruses, and other criminal attacks make it imperative that information security be a significant part of any business plan and that individuals working in that or allied fields become knowledgeable in the principles of information security. This course provides an introduction to the field of information security that lays a necessary foundation for later courses.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5205
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,430,Software Engineering ,"This course presents a variety of different view of the software development process, considering all important process models as well as system analysis and design methods with an emphasis on object-oriented techniques. Concepts, procedures, techniques and methods that enable a software team to assess software quality and manage and control a software development project are also discussed.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5206
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,450,Network Defense and Security ,"Global and local networks provide capabilities for businesses and individuals that have become essential in the success of the world economy. Defending these systems against attacks through the use of worms, viruses, and other criminal acts is imperative. This course provides a solid foundation in the fundamentals of network security and some hands-on experience in the installation and use of firewalls and intrusion detection systems.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5207
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,452,Computer Forensics ,One of the tasks of computer professionals in the area of information security is to investigate to determine the manner and extent of damage or penetration of unauthorized persons into IT systems and to determine what data may have been compromised as well as authorized penetration of IT resources for legal purposes. This course provides an introduction to the methodology of computer forensics.,https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5208
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,460,Internet/Intranet Security ,"Access to the Internet for multiple purposes is one of the major components of most business operations. Many businesses also have intranets, which provide internal communications. Security of these assets is imperative for a successful business. This course provides an introduction to the concepts and procedures of assessing and providing security for intranet/intranets.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5209
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,470,Management of Information Security ,"It is imperative that information security be a significant part of any business plan and that managers working in that or allied fields are aware of the principles and methodology of managing information security. This course provides an in-depth view of the management of information security for government, corporations, and other institutions.",https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5210
St Leo University,St. Leo,FL,BS,Cybersecurity,Online,CORE,3,COM,475,Penetration Testing ,An introduction to simulating real world attacks to expose the vulnerabilities of an organization without damaging the available services or assets. This course covers computer security techniques required to prevent or mitigate attacks.,https://academiccatalog.saintleo.edu/preview_program.php?catoid=41&poid=6511&returnto=5211
